127.0.0.1 - - [02/Jan/2019:08:01:00 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:09 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5614
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:14 +0800] "GET /Book2/bootstrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:14 +0800] "GET /Book2/bootstrap/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:14 +0800] "GET /Book2/iconfont/iconfont.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:14 +0800] "GET /Book2/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:14 +0800] "GET /Book2/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:14 +0800] "GET /Book2/bootstrap/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:01:21 +0800] "GET /Book2/tu/t1.png HTTP/1.1" 200 1403052
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:02:14 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5632
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:02:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:02:16 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5632
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:02:17 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:02:31 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5632
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:02:31 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:02:55 +0800] "GET /Book2/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:00 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:04 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:04 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:04 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:04 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:04 +0800] "GET /Book2/new.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:05 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:05 +0800] "GET /Book2/tu/tng.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:05 +0800] "GET /Book2/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:05 +0800] "GET /Book2/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:03:05 +0800] "GET /Book2/js/jquery.js HTTP/1.1" 304 -
